empty,field_opp_no,field_opp_primary_at,field_opp_primary_vt,field_opp_source,field_opp_ideation_date,field_opp_context_field,field_opp_theme,field_opp_description,field_opp_tcv_range,field_opp_tcv_est,field_opp_stakeholder,field_opp_decision_maker,field_opp_potential_competitor,field_opp_comments
,817,LafargeHolcim (Lafarge),Construction,LTI,12/13/2016,,Management performance tracking tool,"Comprehensive and cohesive management tool with a common language across group
Ability to performance manage value drivers centrally
Move from EBITDA driven management to value creation framework employing pricing, cost drivers, free cash flow drivers (investment decisions, net working capital management), asset utilization and capital efficiency drivers
Compute average price of products given complexity of price variations across customer segments, geographies",,,,,,
,818,LafargeHolcim (Lafarge),Construction,LTI,12/13/2016,,Migration from JDE to SAP and cross-country integration,"System integration across 90 countries of presence, with ~50 overlapping geographies
Customization of SAP instances by region, country and product lines for frontline employees",,,,,,
,819,LafargeHolcim (Lafarge),Construction,LTI,12/13/2016,,Salesforce implementation,"Push to go worldwide, Salesforce 2nd biggest area of spend after SAP",,,,,,
,820,LafargeHolcim (Lafarge),Construction,LTI,12/13/2016,,Knowledge management,"Develop a group-level knowledge management system across functions (e.g., operations, supply chain, R&D) – no system present currently ",,,,,,
,821,LafargeHolcim (Lafarge),Construction,LTI,12/13/2016,,Business process automation,"Automation of back-office shared services functions (e.g., HR - payroll, finance – accounts payables, accounts receivables)",,,,,,
,822,LafargeHolcim (Lafarge),Construction,LTI,12/13/2016,,Document management systems,"Document management manages authoring, storing, archiving, search, and retrieval of documents
Data processed:
Forms required by regulatory bodies
All documents to be included in official submissions or stored for compliance purposes (e.g., regulatory authorities)
Value proposition:
Lowers costs of regulatory compliance by improving ability to archive and search regulatory forms, transparency and communication",,,,,,
,823,LafargeHolcim (Lafarge),Construction,LTI,12/13/2016,,Safety systems,"Automatic reporting of safety information increases regulatory compliance
Analytics allows early detection of “safety signals” (trends)
Data mining allows AEs to inform product development and demonstrate effectiveness
System description:
Maintains Adverse Events (AEs) information, manages content of safety letters
Ensures distribution of safety documents to investigational sites
Data processed: 
Adverse Event reports
Trends / “Safety Signals”
Safety letters/documents",,,,,,
,824,LafargeHolcim (Lafarge),Construction,LTI,12/13/2016,,Lab asset scheduling,Scheduling applications for optimizing use of lab assets across different projects,,,,,,
,825,Scania,Auto,LTI,12/14/2016,,Virtual identity card for component tracking,"Need to track all components going into assembly – for better inventory tracking and product profiling
Requirement for database management systems to store and track data 
Could be used for optimal tracing of issues in case of product recalls (especially relevant in light of recent Volkswagen recall)",,,,,,
,826,Scania,Auto,LTI,12/14/2016,,Audit for tested assets,"Automotive industry under the pressure of stricter regulations, especially for reduced emissions
In light of Volkswagen’s recent recall, shift to auditing every component and vehicle moving out of testing 
Increased necessity for data tracking, massaging and storage for tested vehicles for audit purposes",,,,,,
,828,Scania,Auto,LTI,12/14/2016,,Data-driven process and quality optimization,"Real time monitoring of production process for advanced quality checks
Scope to minimize labor intensive rework and waste (reducing material cost) by adjusting process parameters based on a monitoring of all quality related variables",,,,,,
,829,Scania,Auto,LTI,12/14/2016,,Production program planning based on demand prediction using consumer data,"Potential to increase revenues by reducing the number bad sellers which have to be discounted
Reduce inventories by optimizing storage times",,,,,,
,830,Scania,Auto,LTI,12/14/2016,,Predictive maintenance for production machines and tools,Predictive maintenance can reduce the frequency of maintenance interventions (compared to conservative preemptive maintenance) while still allowing for forward planning of machine downtime,,,,,,
,831,Scania,Auto,LTI,12/14/2016,,Collaboration platforms ,"Number of entities collaborate on product design – including component manufacturers
Need for a common platform for engineering teams to share data and designs
Cybersecurity for these platforms will be of utmost importance, to ensure that designs are not leaked outside ",,,,,,
,832,Scania,Auto,LTI,12/14/2016,,Digital app for mobility solutions ,"Automotive industry moving from ownership to mobility (pay per use and subscription based services)
Giving rise to increased fleet sharing and rentals – digital platform needed to enable the customers to rent vehicles, pool shipments, and manage accounts
Needs to be backed with a strong backend system aided with analytics to drive allocation, scheduling and dispatching to increase asset utilization ",,,,,,
,833,Scania,Auto,LTI,12/14/2016,,Single sign on customer portal ,"Currently, a typical customers have to engage with multiple web portals and agencies (such as insurance, service scheduling, usage monitoring, etc.) to be able manage their cars
Case to integrate all customer relevant information into a single sign on customer portal help them manage these services seamlessly ",,,,,,
,834,Scania,Auto,LTI,12/14/2016,,Dealer Management System ,"Automotive industry plagued with a handful of dealer management systems (DMS) like Autologica
On an average, any OEM would be interacting with 800 DMS systems – resulting in unnecessarily complicated information management with the dealers (stocking/order bookings/financing options, etc.)
Critical need for a central platform that could provide for a seamless information flow between DMS’s and the OEM ",,,,,,
,835,Scania,Auto,LTI,12/14/2016,,Fleet management systems ,"Typical customers have multiple vehicles in their fleet – asset tracking and monitoring becomes increasingly critical for efficient operations
Would like to be updated with current locations, conditions, downtime to ensure the maximum utility of their fleet
Based on analysis of the data available, the platform could also be used to help customers in scheduling and dispatching of their fleet – thereby minimizing downtime of the vehicle
Analytics could be used further to incentivize drivers based on their asset utilization and usage, thereby increasing the asset life 
",,,,,,
,836,Scania,Auto,LTI,12/14/2016,,Data analytics for customized insurance premiums ,"Vehicle usage monitoring gives better insights for the insurance firms to customize their premiums based on driving behavior patterns, vehicle usage and external/environmental conditions
Scope for using analytics to correlate premiums and payment models (pay how you drive and pay as you drive) to increase revenue and reduce costs
Could be utilized further to offer special short-term pushed insurance based on location/ time of the day such as anti-theft insurance in given areas for one night/week ",,,,,,
,837,Scania,Auto,LTI,12/14/2016,,Real time data analytics for network parking service ,"Case for extending navigational services by providing optimized utilization of available parking space through networked parking 
Especially relevant for commercial vehicles who use parking spaces as opportunity to rest between long haul drives
Would need real time data analytics to identify the right parking spots based on vehicle location, parking requirements and available parking spaces (based on data provided by parking service providers)
Opportunity to extend services in the form of a digital application that can actively guide the driver to the closest-to-destination free parking slot, help in the booking process, assist in the payment and support on ticketing/fining process in case of parking violations”",,,,,,
,838,Scania,Auto,LTI,12/14/2016,,Digital platform for in-vehicle controls,"Current models filled up with multiple controls to manage the internal environment – different controls for temperature, windows, wipers, music, etc.
With the advent of connected cars – automotive industry is gearing up towards using a single portal to manage all these controls
Would need the help of a third party IT service vendor to create a digital portal for seamless control of the entire internal environment ",,,,,,
